"lagu_id","line","text","writer_id"
1,1,"Omnis aureus curto paulatim ventosus tot annus volup speculum tracto.",1
1,2,"Dedico vomito arcesso.",1
1,3,"Vilis cribro aestas terga.",1
1,4,"Voluptate vitae apud terra spiritus.",1
1,5,"Inventore verus arbor.",1
1,6,"Deleniti strues contego ventito cervus concedo considero aptus aduro curiositas.",1
1,7,"Benevolentia arca tyrannus.",1
1,8,"Decipio crapula arbustum demo tergiversatio vitium.",1
1,9,"Carmen sublime caste dens.",1
1,10,"Vae aperio tondeo.",1
2,1,"Tristis calculus antiquus.",2
2,2,"Fugiat angelus canto quis dicta.",2
2,3,"Alias tristis nemo vorax conor coepi summa.",2
2,4,"Conicio aestas depopulo censura tego amitto inflammatio vobis.",2
2,5,"Patruus eius aveho aqua.",2
2,6,"Curo teres audentia tero.",2
2,7,"Quo ventus textus carus urbs urbs substantia desparatus earum.",2
2,8,"Alo ater viduo alias vomer aspicio.",2
2,9,"Sursum solitudo deputo vapulus labore temporibus tremo colo.",2
2,10,"Aperiam cariosus cimentarius vomica arto temporibus.",2
3,1,"Sollers currus solitudo sortitus ustulo absum.",3
3,2,"Quis argumentum subiungo laborum ascisco adsum tollo.",3
3,3,"Calco sumptus speculum demens curto iusto commodi aqua tamen.",3
3,4,"Adsum dapifer toties nam voluptates.",3
3,5,"Angulus adeo cornu.",3
3,6,"Aeger auditor umerus.",3
3,7,"Votum summopere vinum.",3
3,8,"Consequuntur defendo mollitia adulescens cohaero sopor adulescens ara.",3
3,9,"Architecto placeat casso defetiscor usitas similique maiores vomica crux antiquus.",3
3,10,"Pel tabesco baiulus canis censura sequi vigor.",3
4,1,"Virga numquam conatus sumo contigo.",4
4,2,"Aptus ventosus pecto ara vigilo est crur accusamus agnosco.",4
4,3,"Aetas carcer coadunatio tamdiu abundans vulgaris vicissitudo.",4
4,4,"Caelestis ascisco vito error aeger contego hic.",4
4,5,"Tergo brevis capillus solvo conculco vel timidus spoliatio iure.",4
4,6,"Charisma vos desidero aspernatur impedit undique denuo charisma cerno debitis.",4
4,7,"Ulciscor aer ustulo coma porro ara despecto vinitor blanditiis.",4
4,8,"Repellat voluntarius vinco cura ad ater amiculum error urbanus.",4
4,9,"Clibanus aegrotatio triduana suadeo adsuesco venia at tum.",4
4,10,"Amiculum magnam atrox earum testimonium caute cresco labore.",4
5,1,"Unus adeo decerno abutor unus ultra.",5
5,2,"Acervus amplexus arguo.",5
5,3,"Derideo terror admitto.",5
5,4,"Arbitro decor depopulo voluptates subseco vinum studio abeo.",5
5,5,"Tactus aeneus apto depulso.",5
5,6,"Comprehendo sponte quibusdam atrocitas.",5
5,7,"Textilis ventito sit coepi magnam utilis calamitas tonsor.",5
5,8,"Sopor corrumpo cicuta strenuus infit agnitio accusator.",5
5,9,"Advoco paulatim minus aliqua angustus virgo taceo.",5
5,10,"Strenuus aegrus pectus.",5
6,1,"Congregatio canonicus ascisco via odio aperio.",6
6,2,"Adflicto consectetur carcer somnus.",6
6,3,"Molestias error ultra unde approbo pecto vapulus antepono tepidus.",6
6,4,"Vitiosus ascit debitis via aveho minus comes repellendus.",6
6,5,"Bellicus quasi clibanus suggero assumenda conitor sublime surculus tutamen explicabo.",6
6,6,"Beneficium officia aperte confero.",6
6,7,"Canto defleo creo vomer voluptate.",6
6,8,"Compono doloremque pariatur vorago.",6
6,9,"Denique volup adnuo cultura conitor decimus.",6
6,10,"Pauper damno audentia.",6
7,1,"Decipio vestigium adhuc.",7
7,2,"Callide aurum volutabrum adficio quasi.",7
7,3,"Ademptio degusto cur asperiores vehemens compello dolor convoco veritatis claro.",7
7,4,"Cribro depromo carcer votum.",7
7,5,"Usus repellendus cariosus.",7
7,6,"Ipsa valens conicio subvenio sed.",7
7,7,"Dicta thymbra quidem.",7
7,8,"Vita tardus adopto absens.",7
7,9,"Deprecator uredo crebro tristis tonsor.",7
7,10,"Cruciamentum curto ceno veniam praesentium odio officiis aliqua.",7
8,1,"Cohaero substantia solus celebrer succurro dolore tracto suscipio.",8
8,2,"Aperte perferendis ara iste sonitus civis.",8
8,3,"Recusandae tempora vinculum subiungo curtus.",8
