"subscription_id","pengguna_id","subscription_plan_jenis","tanggal_subscribe","tanggal_berakhir","status"
1,1,"Keluarga","2021-07-17","2021-08-17","inaktif"
1,2,"Keluarga","2020-09-26","2020-10-26","inaktif"
1,3,"Pelajar","2022-03-07","2022-04-07","inaktif"
1,4,"Keluarga","2020-06-09","2020-07-09","inaktif"
1,5,"Keluarga","2022-12-15","2023-01-15","inaktif"
1,6,"Pelajar","2020-06-24","2020-07-24","inaktif"
1,7,"Perorangan","2021-11-17","2021-12-17","inaktif"
1,8,"Perorangan","2022-11-29","2022-12-29","inaktif"
1,9,"Perorangan","2020-11-26","2020-12-26","inaktif"
1,10,"Pelajar","2020-11-07","2020-12-07","inaktif"
1,11,"Perorangan","2021-09-24","2021-10-24","inaktif"
1,12,"Perorangan","2021-02-15","2021-03-15","inaktif"
1,13,"Keluarga","2021-12-16","2022-01-16","inaktif"
1,14,"Perorangan","2020-10-28","2020-11-28","inaktif"
1,15,"Pelajar","2022-04-17","2022-05-17","inaktif"
1,16,"Pelajar","2020-05-10","2020-06-10","inaktif"
1,17,"Pelajar","2020-04-13","2020-05-13","inaktif"
1,18,"Perorangan","2020-08-05","2020-09-05","inaktif"
1,19,"Pelajar","2021-09-01","2021-10-01","inaktif"
1,20,"Pelajar","2022-06-09","2022-07-09","inaktif"
1,21,"Keluarga","2020-11-04","2020-12-04","inaktif"
1,22,"Keluarga","2020-08-15","2020-09-15","inaktif"
1,23,"Perorangan","2022-05-05","2022-06-05","inaktif"
1,24,"Perorangan","2021-11-27","2021-12-27","inaktif"
1,25,"Pelajar","2021-05-11","2021-06-11","inaktif"
1,26,"Perorangan","2021-11-12","2021-12-12","inaktif"
1,27,"Keluarga","2021-04-22","2021-05-22","inaktif"
1,28,"Pelajar","2022-08-16","2022-09-16","inaktif"
1,29,"Perorangan","2020-11-02","2020-12-02","inaktif"
1,30,"Perorangan","2021-07-25","2021-08-25","inaktif"
1,31,"Pelajar","2022-10-03","2022-11-03","inaktif"
1,32,"Perorangan","2020-04-23","2020-05-23","inaktif"
1,33,"Pelajar","2022-03-01","2022-04-01","inaktif"
1,34,"Perorangan","2021-06-17","2021-07-17","inaktif"
1,35,"Pelajar","2022-06-21","2022-07-21","inaktif"
1,36,"Perorangan","2021-12-21","2022-01-21","inaktif"
1,37,"Keluarga","2021-05-06","2021-06-06","inaktif"
1,38,"Keluarga","2020-03-04","2020-04-04","inaktif"
1,39,"Perorangan","2022-06-05","2022-07-05","inaktif"
1,40,"Perorangan","2022-12-09","2023-01-09","inaktif"
1,41,"Perorangan","2021-12-04","2022-01-04","inaktif"
1,42,"Perorangan","2022-03-15","2022-04-15","inaktif"
1,43,"Pelajar","2022-05-28","2022-06-28","inaktif"
1,44,"Perorangan","2021-08-15","2021-09-15","inaktif"
1,45,"Keluarga","2022-08-10","2022-09-10","inaktif"
1,46,"Keluarga","2021-06-30","2021-07-31","inaktif"
1,47,"Pelajar","2022-03-18","2022-04-18","inaktif"
1,48,"Pelajar","2021-10-22","2021-11-22","inaktif"
