"id","artis_id","label_id","judul","durasi","tanggal_rilis"
1,97,11,"Discover the kaleidoscopic gall-bladder",139,"2022-02-21"
2,89,14,"parched tank",432,"2021-07-21"
3,76,59,"double impediment: How to nationalize",590,"2021-08-01"
4,63,36,"Discover the concerned distributor",423,"2020-10-24"
5,30,93,"unlined almond: How to steady",352,"2021-08-02"
6,37,91,"Secrets of damp perch",308,"2021-05-30"
7,70,2,"glamorous schema: How to collectivise",420,"2022-11-21"
8,42,53,"The silly balloonist",587,"2022-04-10"
9,100,21,"Secrets of lonely fratricide",311,"2020-05-26"
10,17,9,"private code: How to bruit",404,"2020-05-08"
11,29,12,"Top 10 shoddy pineapples",348,"2020-11-30"
12,47,48,"Secrets of neglected academics",223,"2022-03-27"
13,6,65,"lasting cranberry",301,"2020-07-13"
14,46,83,"tired reboot",549,"2021-07-20"
15,19,9,"kosher carload",215,"2021-09-29"
16,95,24,"The naive mouse",412,"2021-10-30"
17,33,89,"Top 10 nutty radiators",364,"2022-03-05"
18,8,92,"The extroverted eyebrow",398,"2022-12-28"
19,66,36,"Secrets of powerful ton",486,"2022-09-11"
20,33,20,"Discover the snappy record",192,"2022-03-28"
21,62,51,"Secrets of cautious campaigning",333,"2020-06-15"
22,57,21,"The urban spur",564,"2022-11-07"
23,70,20,"Discover the honest tributary",134,"2022-11-14"
24,22,83,"petty playroom",258,"2020-09-05"
25,10,97,"The thorny studio",386,"2020-11-13"
26,22,77,"dirty colony",591,"2020-08-30"
27,50,84,"Secrets of charming entrepreneur",452,"2020-07-01"
28,31,62,"Discover the quarterly desktop",468,"2022-10-08"
29,9,20,"The warped page",273,"2020-12-07"
30,11,13,"grouchy temple",308,"2021-10-05"
31,4,94,"Discover the monthly courage",516,"2020-06-23"
32,6,56,"The extroverted maniac",599,"2020-07-20"
33,97,61,"Top 10 alert pocket-watchs",435,"2022-02-11"
34,29,5,"dense transaction: How to institute",198,"2020-11-24"
35,45,77,"bumpy probe: How to unsaddle",205,"2022-09-04"
36,29,63,"The frightening rivulet",502,"2020-11-29"
37,53,100,"jittery temptress: How to delete",485,"2021-08-25"
38,32,84,"Secrets of lanky ascent",284,"2020-04-28"
39,44,98,"Top 10 mellow calls",231,"2021-09-06"
40,75,20,"Top 10 exciting westerns",208,"2020-02-10"
41,61,80,"Top 10 warm strings",380,"2021-02-23"
42,76,86,"teeming know-how: How to throbbing",268,"2021-07-26"
43,54,63,"clean sum: How to home",132,"2023-01-02"
44,53,95,"shy chromolithograph: How to divide",450,"2021-09-18"
45,55,67,"precious gland: How to abseil",252,"2020-12-27"
46,71,54,"Secrets of left mansion",290,"2020-07-08"
47,13,38,"Top 10 nautical hunters",536,"2022-01-08"
48,94,30,"Secrets of empty derrick",340,"2022-01-09"
49,98,36,"bogus cabin: How to hearten",274,"2022-07-28"
50,98,75,"Secrets of adventurous bitten",533,"2022-07-16"
51,66,65,"Secrets of sparkling state",364,"2022-09-19"
52,99,22,"Top 10 exciting anniversarys",208,"2022-10-21"
53,93,9,"Top 10 adolescent eyeglassess",285,"2021-01-15"
54,23,96,"costly pun",509,"2022-05-10"
55,47,33,"green cicada: How to discomfort",177,"2022-03-26"
56,68,59,"nifty manservant: How to antagonise",519,"2020-02-21"
57,20,37,"harmful documentary: How to advise",199,"2022-06-23"
58,78,29,"Secrets of wan freedom",263,"2022-04-22"
59,34,48,"frozen pass: How to ram",569,"2021-06-25"
60,58,65,"somber mushroom: How to untie",248,"2021-06-20"
61,80,39,"famous defeat",333,"2022-08-20"
62,88,17,"distinct turning",133,"2020-10-29"
63,68,19,"Discover the heartfelt jug",315,"2020-02-20"
64,92,36,"Top 10 biodegradable glows",247,"2022-01-13"
65,75,21,"Top 10 focused fridges",157,"2020-01-28"
66,48,44,"Top 10 good-natured stereos",325,"2021-10-29"
67,52,95,"devoted stranger",520,"2021-12-21"
68,24,18,"Discover the austere pyridine",515,"2021-12-25"
69,66,98,"pleasant nutmeg",299,"2022-09-20"
70,42,92,"last duplexer: How to extort",535,"2022-04-11"
71,44,89,"The austere dusk",250,"2021-08-25"
72,25,48,"The internal disposal",388,"2021-05-18"
73,29,90,"weepy homonym: How to mull",196,"2020-11-17"
74,82,37,"Top 10 cold stalls",501,"2020-03-22"
75,51,8,"Secrets of offbeat closet",564,"2021-04-24"
76,42,75,"The triangular material",472,"2022-04-08"
77,22,63,"The black-and-white fur",358,"2020-09-04"
78,36,93,"soft pavilion: How to hearten",415,"2022-01-19"
79,16,92,"Secrets of creepy craft",210,"2020-05-20"
80,59,34,"Top 10 gleeful machines",224,"2022-06-26"
81,54,45,"Top 10 clumsy lions",527,"2023-01-03"
82,65,49,"clean eyelash: How to excavate",175,"2020-11-03"
83,35,24,"Secrets of cylindrical hydrocarbon",249,"2022-07-17"
84,78,6,"The secret continuity",447,"2022-04-01"
85,78,80,"Top 10 skeletal conservatives",534,"2022-04-13"
86,80,12,"fancy commerce",313,"2022-08-30"
87,26,68,"brave drama",249,"2021-11-21"
88,41,67,"The monstrous soul",249,"2021-12-22"
89,51,84,"Discover the original farmer",209,"2021-04-22"
